id_tiempo,anyo,mes,trimestre,nom_mes
1,2010,1,1,gener
2,2010,2,1,febrer
3,2010,3,1,març
4,2010,4,2,abril
5,2010,5,2,maig
6,2010,6,2,juny
7,2010,7,3,juliol
8,2010,8,3,agost
9,2010,9,3,setembre
10,2010,10,4,octubre
11,2010,11,4,novembre
12,2010,12,4,desembre
13,2011,1,1,gener
14,2011,2,1,febrer
15,2011,3,1,març
16,2011,4,2,abril
17,2011,5,2,maig
18,2011,6,2,juny
19,2011,7,3,juliol
20,2011,8,3,agost
21,2011,9,3,setembre
22,2011,10,4,octubre
23,2011,11,4,novembre
24,2011,12,4,desembre
25,2012,1,1,gener
26,2012,2,1,febrer
27,2012,3,1,març
28,2012,4,2,abril
29,2012,5,2,maig
30,2012,6,2,juny
31,2012,7,3,juliol
32,2012,8,3,agost
33,2012,9,3,setembre
34,2012,10,4,octubre
35,2012,11,4,novembre
36,2012,12,4,desembre
37,2013,1,1,gener
38,2013,2,1,febrer
39,2013,3,1,març
40,2013,4,2,abril
41,2013,5,2,maig
42,2013,6,2,juny
43,2013,7,3,juliol
44,2013,8,3,agost
45,2013,9,3,setembre
46,2013,10,4,octubre
47,2013,11,4,novembre
48,2013,12,4,desembre
49,2014,1,1,gener
50,2014,2,1,febrer
51,2014,3,1,març
52,2014,4,2,abril
53,2014,5,2,maig
54,2014,6,2,juny
55,2014,7,3,juliol
56,2014,8,3,agost
57,2014,9,3,setembre
58,2014,10,4,octubre
59,2014,11,4,novembre
60,2014,12,4,desembre
61,2015,1,1,gener
62,2015,2,1,febrer
63,2015,3,1,març
64,2015,4,2,abril
65,2015,5,2,maig
66,2015,6,2,juny
67,2015,7,3,juliol
68,2015,8,3,agost
69,2015,9,3,setembre
70,2015,10,4,octubre
71,2015,11,4,novembre
72,2015,12,4,desembre
73,2016,1,1,gener
74,2016,2,1,febrer
75,2016,3,1,març
76,2016,4,2,abril
77,2016,5,2,maig
78,2016,6,2,juny
79,2016,7,3,juliol
80,2016,8,3,agost
81,2016,9,3,setembre
82,2016,10,4,octubre
83,2016,11,4,novembre
84,2016,12,4,desembre
85,2017,1,1,gener
86,2017,2,1,febrer
87,2017,3,1,març
88,2017,4,2,abril
89,2017,5,2,maig
90,2017,6,2,juny
91,2017,7,3,juliol
92,2017,8,3,agost
93,2017,9,3,setembre
94,2017,10,4,octubre
95,2017,11,4,novembre
96,2017,12,4,desembre
97,2018,1,1,gener
98,2018,2,1,febrer
99,2018,3,1,març
100,2018,4,2,abril
101,2018,5,2,maig
102,2018,6,2,juny
103,2018,7,3,juliol
104,2018,8,3,agost
105,2018,9,3,setembre
106,2018,10,4,octubre
107,2018,11,4,novembre
108,2018,12,4,desembre
109,2019,1,1,gener
110,2019,2,1,febrer
111,2019,3,1,març
112,2019,4,2,abril
113,2019,5,2,maig
114,2019,6,2,juny
115,2019,7,3,juliol
116,2019,8,3,agost
117,2019,9,3,setembre
118,2019,10,4,octubre
119,2019,11,4,novembre
120,2019,12,4,desembre
121,2020,1,1,gener
122,2020,2,1,febrer
123,2020,3,1,març
124,2020,4,2,abril
125,2020,5,2,maig
126,2020,6,2,juny
127,2020,7,3,juliol
128,2020,8,3,agost
129,2020,9,3,setembre
130,2020,10,4,octubre
131,2020,11,4,novembre
132,2020,12,4,desembre
133,2021,1,1,gener
134,2021,2,1,febrer
135,2021,3,1,març
136,2021,4,2,abril
137,2021,5,2,maig
138,2021,6,2,juny
139,2021,7,3,juliol
140,2021,8,3,agost
141,2021,9,3,setembre
142,2021,10,4,octubre
143,2021,11,4,novembre
144,2021,12,4,desembre
145,2022,1,1,gener
146,2022,2,1,febrer
147,2022,3,1,març
148,2022,4,2,abril
149,2022,5,2,maig
150,2022,6,2,juny
151,2022,7,3,juliol
152,2022,8,3,agost
153,2022,9,3,setembre
154,2022,10,4,octubre
155,2022,11,4,novembre
156,2022,12,4,desembre
157,2023,1,1,gener
158,2023,2,1,febrer
159,2023,3,1,març
160,2023,4,2,abril
161,2023,5,2,maig
162,2023,6,2,juny
163,2023,7,3,juliol
164,2023,8,3,agost
165,2023,9,3,setembre
166,2023,10,4,octubre
167,2023,11,4,novembre
168,2023,12,4,desembre
169,2024,1,1,gener
170,2024,2,1,febrer
171,2024,3,1,març
172,2024,4,2,abril
173,2024,5,2,maig
174,2024,6,2,juny
175,2024,7,3,juliol
176,2024,8,3,agost
177,2024,9,3,setembre
178,2024,10,4,octubre
179,2024,11,4,novembre
180,2024,12,4,desembre
181,2025,1,1,gener
182,2025,2,1,febrer
183,2025,3,1,març
184,2025,4,2,abril
185,2025,5,2,maig
186,2025,6,2,juny
187,2025,7,3,juliol
188,2025,8,3,agost
189,2025,9,3,setembre
190,2025,10,4,octubre
191,2025,11,4,novembre
192,2025,12,4,desembre
193,2010,,,Any complet
194,2011,,,Any complet
195,2012,,,Any complet
196,2013,,,Any complet
197,2014,,,Any complet
198,2015,,,Any complet
199,2016,,,Any complet
200,2017,,,Any complet
201,2018,,,Any complet
202,2019,,,Any complet
203,2020,,,Any complet
204,2021,,,Any complet
205,2022,,,Any complet
206,2023,,,Any complet
207,2024,,,Any complet
208,2025,,,Any complet
